"UCIAMS_Number","Deposit","Mean","Median","SD","P23_d18O"
" R_Date 198206","1",34458,34454,260,2.14352941176471
" R_Date 198302","1",34806,34795,274,1.65
" R_Date 198207","1",35726,35729,369,2.26265
" R_Date 198201","1",36571,36492,532,1.35428205128205
" R_Date 198203","1",37367,37345,774,1.73961016949153
" R_Date 191099","1",38163,38214,660,1.70920924261874
" R_Date 198200","1",39649,39625,571,2.47271428571429
" R_Date 191097","1",39770,39745,640,2.2812
" R_Date 191102","1",40046,40036,638,2.40685714285714
" R_Date 191096","1",40067,40058,637,2.223
" R_Date 191095","1",40379,40385,640,2.36763636363636
" R_Date 198199","1",40404,40409,587,2.06372727272727
" R_Date 191100","1",40410,40416,628,2.12481818181818
" R_Date 198202","1",40530,40539,581,2.23372727272727
" R_Date 191098","1",40662,40678,623,2.23181818181818
" R_Date 198204","1",40731,40752,846,2.19457142857143
" R_Date 198205","1",41133,41162,552,1.53670833333333
" R_Date 198294","1",43589,43526,676,2.1083037037037
" R_Date 191101","1",48345,48507,1123,1.64794117647059
" R_Date 223507","13",35151,35132,286,1.64851219512195
" R_Date 223508","13",35872,35879,307,2.274
" R_Date 223509","13",36737,36660,460,1.51573195876289
" R_Date 223505","13",37498,37505,506,1.7196
" R_Date 223499","13",37878,37934,502,1.82997946084724
" R_Date 223498","13",39360,39338,437,2.322
" R_Date 223500","13",39815,39809,486,2.3544
" R_Date 223501","13",39861,39855,487,2.41075
" R_Date 223506","13",40875,40891,468,1.81610204081633
" R_Date 223495","13",42795,42748,488,2.07851470588235
" R_Date 223585","13",43079,43041,376,2.097
" R_Date 223497","13",43188,43123,549,2.13985714285714
" R_Date 223496","13",44279,44244,709,1.50440740740741
" R_Date 223502","13",47495,47439,1147,1.88161538461538
" R_Date 223503","13",48653,48804,938,1.47834615384615
"R_Date 216781","7",34919,34900,326,1.55010526315789
" R_Date 216782","7",42892,42814,669,2.08227777777778
" R_Date 216784","7",45239,45104,1212,1.47791578947368
" R_Date 216783","7",46371,46221,1395,2.2898813559322
" R_Date 217079","7",48255,48419,1178,1.58773786407767
" R_Date 198208","14",29804,29778,261,2.38756451612903
" R_Date 223513","14",30054,30053,249,2.50119512195122
" R_Date 198298","14",30615,30633,179,2.52704109589041
" R_Date 223587","14",30908,30911,99,2.28657142857143
" R_Date 223516","14",30940,30945,115,2.28169863013699
" R_Date 223521","14",31018,31022,209,2.44204109589041
" R_Date 223515","14",31153,31152,110,2.24694047619048
" R_Date 198297","14",32615,32643,381,2.31548387096774
" R_Date 223520","14",32877,32898,328,2.36306666666667
" R_Date 198295","14",37286,37260,535,1.74838461538462
" R_Date 223517","14",41406,41434,434,1.98148962655602
" R_Date 223522","14",42602,42572,442,2.33382352941176
